line_id,station_id1,station_id2
1,1,2
1,2,3
1,3,4
1,4,5
1,5,6
1,5,8
1,6,7
1,7,8
1,8,9
1,8,17
1,9,10
1,10,11
1,11,23
1,17,18
1,18,19
1,19,20
1,20,21
1,21,22
1,22,23
1,23,27
1,27,28
1,28,29
1,29,30
1,30,31
1,31,33
1,33,34
1,34,36
1,36,37
1,37,38
1,39,40
1,40,42
1,42,43
1,43,44
1,44,45
1,45,46
1,46,47
1,47,48
1,48,49
1,49,50
1,50,51
1,51,52
1,52,53
1,53,54
1,54,55
1,55,56
1,56,57
1,58,59
1,59,60
1,60,61
1,61,62
1,62,63
1,63,64
1,64,65
1,65,66
1,66,67
1,67,68
1,68,69
1,69,70
1,70,71
1,71,72
1,72,73
1,73,74
1,74,75
1,75,76
1,76,77
1,77,78
1,78,79
1,79,80
1,80,81
1,81,82
1,82,83
1,83,84
1,84,85
1,85,86
1,86,87
1,87,88
1,88,89
1,89,90
1,90,91
1,91,92
1,92,93
1,93,94
1,94,95
1,95,96
1,96,98
1,98,99
2,100,101
2,101,102
2,102,103
2,103,104
2,104,105
2,105,106
2,106,107
2,107,108
2,108,109
2,109,110
2,110,111
2,111,112
2,112,113
2,113,114
2,114,119
2,115,116
2,116,117
2,117,118
2,118,119
2,119,120
2,120,121
2,121,122
2,122,123
2,123,124
2,124,125
2,125,126
2,126,127
2,127,128
2,128,129
2,129,130
2,130,131
2,131,132
2,132,133
2,134,135
2,135,136
2,136,137
2,137,138
2,138,139
2,139,140
2,140,141
2,141,142
2,142,143
2,143,144
2,144,145
2,145,146
2,146,147
3,148,149
3,149,150
3,150,151
3,151,152
3,152,153
3,153,154
3,154,155
3,155,157
3,157,158
3,158,159
3,159,160
3,160,161
3,161,162
3,162,163
3,163,164
3,164,165
3,166,167
3,167,169
3,169,170
3,170,171
3,171,172
3,172,173
3,173,174
3,174,175
3,175,177
3,177,178
3,178,179
3,179,180
3,180,181
3,181,182
3,182,183
3,183,185
3,185,188
3,188,190
3,190,191
3,191,192
3,192,193
3,193,194
3,194,195
3,195,196
4,197,198
4,198,199
4,199,200
4,200,201
4,201,202
4,202,203
4,203,204
4,204,206
4,206,207
4,207,208
4,208,209
4,209,211
4,211,212
4,212,213
4,213,214
4,214,216
4,216,217
5,218,219
5,219,220
5,220,223
5,222,223
5,223,224
5,224,225
5,225,226
5,226,227
5,227,228
5,228,229
5,229,230
5,230,231
5,231,232
5,232,233
5,233,234
5,234,235
5,235,236
6,237,238
6,238,240
6,240,241
6,241,243
6,243,249
6,249,250
6,250,251
7,252,253
7,253,254
7,255,256
8,282,283
8,283,284
8,284,285
8,285,286
8,286,287
8,287,288
8,288,289
8,289,290
8,290,291
8,291,292
8,292,293
8,294,295
8,295,296
8,293,294
9,313,314
9,314,315
9,315,316
9,316,317
10,334,335
10,335,336
10,336,337
10,337,338
10,338,339
10,339,340
10,340,341
10,341,342
10,342,343
10,343,344
10,344,345
10,345,346
10,346,347
10,347,348
10,348,349
10,349,350
10,350,351
11,352,353
11,353,354
11,354,355
11,355,356
11,356,358
11,358,360
11,360,361
11,361,362
11,362,364
11,364,366
11,366,368
11,368,369
11,369,370
11,370,371
11,371,372
11,372,373
11,373,375
11,375,376
11,376,378
11,378,379
11,379,381
11,381,383
11,383,384
11,384,385
11,385,386
11,386,387
11,387,388
11,388,390
11,390,391
11,391,392
11,392,394
11,394,396
11,396,397
11,397,398
11,398,400
11,400,401
11,401,402
11,402,403
11,403,404
12,405,406
12,406,407
12,407,408
12,408,409
12,409,411
12,411,412
12,412,414
12,414,415
12,415,416
12,416,417
12,417,418
12,418,420
12,420,422
12,422,425
12,425,426
12,426,427
12,427,428
12,428,430
12,430,432
12,432,433
12,433,434
12,434,435
12,435,436
12,436,437
12,437,438
12,438,439
12,439,440
12,440,441
12,441,442
12,442,443
12,443,444
12,444,445
12,445,446
13,447,448
13,448,449
13,449,450
13,450,451
13,451,452
13,452,453
13,453,454
13,454,455
13,455,456
13,456,458
13,458,459
13,459,460
13,460,461
13,461,462
13,462,463
13,463,465
13,465,466
13,466,468
13,468,469
13,469,470
13,470,471
13,471,472
13,472,473
13,473,474
14,475,476
14,476,480
342,490,491
342,491,492
342,492,493
342,493,494
342,494,495
342,495,496
342,496,497
342,497,498
342,498,499
342,499,500
342,500,501
342,501,502
17,504,505
17,505,506
17,506,507
17,507,508
17,508,509
17,509,510
17,510,511
17,511,512
17,512,513
17,513,514
17,514,515
17,515,516
17,516,517
17,517,518
17,518,519
17,519,520
17,520,521
17,521,522
17,522,523
17,523,524
17,524,525
17,525,526
17,526,527
17,527,528
17,528,529
17,529,530
17,530,531
17,531,532
17,533,534
17,534,535
17,535,536
17,536,537
17,537,538
17,538,539
17,539,540
17,540,541
17,541,542
17,542,543
17,543,544
17,544,545
17,545,546
17,546,547
17,547,548
17,548,549
17,549,550
17,550,551
17,551,552
17,552,553
17,553,554
17,554,555
17,555,556
17,556,557
17,557,558
17,558,559
17,559,560
17,560,561
17,561,562
17,562,563
17,563,564
17,564,565
17,565,566
17,566,567
17,567,568
17,568,569
17,569,570
17,532,533
18,571,572
18,572,573
18,573,574
18,574,575
18,575,576
18,576,577
18,577,578
18,578,579
18,579,580
18,580,581
19,582,583
19,583,584
19,584,585
19,585,586
19,586,587
19,587,588
19,588,589
19,589,590
19,590,591
19,591,592
19,592,593
19,593,594
19,594,595
19,595,596
19,596,597
19,597,598
19,598,599
19,599,600
19,600,601
19,601,602
19,602,603
19,603,604
19,604,605
19,605,606
19,606,607
19,607,608
19,608,609
19,609,610
19,610,611
19,611,612
19,612,613
19,613,614
19,614,615
19,615,616
19,616,617
19,617,618
19,618,619
19,619,620
19,620,621
19,621,622
19,622,623
19,623,624
20,625,626
20,626,627
20,627,628
20,628,629
20,629,630
20,630,631
20,631,632
20,632,633
20,633,634
20,634,635
20,635,636
20,636,637
20,637,638
20,638,639
20,639,640
20,640,641
20,641,642
21,643,644
21,644,645
21,645,646
21,646,647
21,647,648
21,648,649
21,649,651
21,651,652
21,652,653
21,653,654
21,654,655
21,655,656
21,656,657
21,657,658
21,658,659
21,659,660
21,660,661
21,661,662
21,662,663
21,663,664
21,664,665
21,665,666
21,666,667
22,668,669
22,669,670
22,670,671
22,671,672
22,672,673
22,673,674
22,674,675
22,675,676
23,677,678
23,678,679
23,679,680
23,680,681
23,681,682
23,682,683
23,683,684
23,684,685
23,685,686
23,686,687
23,687,688
23,688,689
23,689,690
24,702,703
24,703,704
24,704,705
24,705,706
24,706,707
24,707,708
24,708,709
24,709,710
24,710,711
24,711,712
24,712,713
24,713,714
24,714,715
24,715,716
24,716,717
24,717,718
24,718,719
24,719,720
24,720,721
24,721,722
24,722,723
24,723,724
24,724,725
25,726,727
25,727,728
25,728,729
25,729,730
25,730,731
25,731,732
25,732,733
25,733,734
25,734,735
25,735,736
25,736,737
25,737,738
25,738,740
25,740,742
26,743,744
26,745,746
26,746,747
